a art#一(个)；每一(个)
different #差异的；各种的
difficult #困难的；难对付的
difficulty #困难；难事；困境
dig #掘，挖；采掘
digest #消化；领会 #文摘
digital #数字的，计数的
diligent #勤勉的，勤奋的
dim #昏暗的；朦胧的
dimension #尺寸，尺度；面积
dinner #正餐，主餐；宴会
dip #浸，蘸 #浸一浸
direct #直接的；直率的
direction #方向，方位；指导
directly #直接地；立即
director #指导者；理事；导演
dirt #尘，土；污物，污垢
dirty #脏的；下流的
disable #使无能，使伤残
disadvantage #不利，不利地位
disagree #有分歧；不一致
disappear #不见，失踪；消失
disappoint #使失望，使受挫折
disaster #灾难，灾祸；天灾
disk #圆盘，唱片；磁盘
discard #丢弃，抛弃，遗弃
discharge #释放；排出 #释放
discipline #纪律；训练 #训练
disclose #揭开，揭发；透露
discourage #使泄气，使灰心
discover #发现；暴露，显示
discovery #发现；被发现的事物
discuss #讨论，谈论；论述
discussion #讨论，谈论；论述
disease #病，疾病；病害
disguise #隐瞒，掩埋 #假装
disgust #厌恶，憎恶
dish #碟，盘子；菜肴
dishonour #不光彩；丢脸的人
dislike #不喜爱，厌恶
dismiss #不再考虑；解雇
disorder #混乱，杂乱；骚乱
display #陈列，展览；显示
disposal #丢掉，处理，销毁
dispose #去掉，丢掉；销毁
displease #使不愉快，使生气
dispute #争论，争执 #争论
dissatisfy #使不满，使不平
dissolve #使溶解；解散
distance #距离，间距；远处
distant #在远处的，疏远的
distinct #与其他不同的
distinction #差别，不同，区分
distinguish #区别，辨别，认别
distress #忧虑，悲伤；不幸
distribute #分发，分送；分布
distribution #分发，分配；分布
district #区；地区，区域
disturb #打扰，扰乱；弄乱
ditch #沟，沟渠，渠道
dive #跳水；潜水；俯冲
diverse #不一样的，相异的
divide #分；分配；分开
division #分，分配；除法
divorce #离婚，离异 #离婚
do # #做，干，办
dock #船坞；码头；船厂
doctor #医生，医师；博士
document #公文，文件；证件
dog #狗，犬，犬科动物
dollar #元(货币单位)
domestic #本国的；家庭的
donkey #驴；笨蛋
door #门，通道；一家
dorm #宿舍
dormitory #集体寝室；宿舍
dose #剂量，用量；一剂
dot #点，圆点 #打点于
double #两倍的；双的
doubt #怀疑；疑虑 #怀疑
doubtful #难以预测的；怀疑的
doubtless #无疑地；很可能
down #向下，在下面
downstairs #在楼下 #楼下的
downward #向下的 #向下地
dozen #一打，十二个
draft #草稿；汇票 #起草
drag #拖，拉；拖曳
dragon #龙；凶暴的人
drain #排去；放水 #耗竭
drama #一出戏剧，剧本
dramatic #引人注目的，戏剧的
draw #画，划；拖；拨出
drawer #抽屉
drawing #图画，素描；绘图
dread #畏惧；恐怖 #惧怕
dream #梦；梦想 #做梦
dress #女服，童装；服装
drift #漂流，漂泊 #漂流
drill #钻头；操练 #钻孔
drink #饮 #喝 #饮料
drip #滴下；漏水 #水滴
drive #驾驶；打入；驱
driver #驾驶员，司机
drop #使落下；降低
drought #旱灾，干旱
drown #淹死，溺死
drug #药，药物，药材
drum #鼓；鼓状物，圆桶
drunk #醉的；陶醉的
dry #干的，干燥的
duck #鸭，雌鸭；鸭肉
due #预期的；应给的
dull #枯燥的；不鲜明的
dumb #哑的；无言的
dump #倾卸，倾倒；倾销
durable #耐久的，耐用的
duration #持续，持久
during #在…期间
dusk #薄暮，黄昏，幽暗
dust #尘土，灰尘
duty #职责；责任；税
dwelling #住处，寓所
dye #染 #染料；染色
dying #垂死的；临终的
dynamic #有活力的；动力的
each #各，各自 #各
eager #渴望的，热切的
eagle #鹰
ear #耳朵；听力，听觉
early #早 #早的，早期的
earn #赚得，挣得；获得
earnest #认真的，诚恳的
earth #地球；陆地，地面
earthquake #地震；大震荡
ease #容易，舒适 #缓和
easily #容易地；舒适的
east #东；东部 #在东方
eastern #东方的；朝东的
easy #容易的；安逸的
eat #吃，喝 #吃饭
echo #回声，反响 #重复
economic #经济的，经济学的
economical #节约的；经济学的
economy #经济；节约，节省
edge #边缘，边；刀口
edition #版，版本，版次
editor #编辑，编者，校订者
educate #教育；培养；训练
education #教育；训导；教育学
effect #结果；效果，效力
effective #有效的；有影响的
efficiency #效率；功效，效能
efficient #效率高的，有能力的
effort #努力；努力的成果
egg #蛋，鸡蛋，卵
eight num#八，八个，第八
eighteen num#十八，十八个
eighth num#第八 #八分之一
eighty num#八十，八十个
either #(两者)任何一个
elaborate #复杂的；精心制作的
elastic #松紧带 #有弹性的
elbow #肘，肘部；弯管
elder #年龄较大的 #长者
elect #选举，推选；选择
election #选举，选择权；当选
electric #电的，电动的
electrical #电的，电气科学的
electricity #电，电学；电流
electron #电子
electronic #电子的
electronics #电子学
element #成分；要素；元素
elementary #基本的；初级的
elephant #象
elevator #电梯；升降机
eleven num#十一，十一个
eleventh num#第十一(个)
eliminate #消灭，消除，排除
elimination #消灭，排除，消除
else #其它，另外 #别的
elsewhere #在别处，向别处
embarrass #使窘迫，使为难
embrace #拥抱；包括；包围
emerge #出现，涌现；冒出
emergency #紧急情况，突然事件
emit #散发；发射；发表
emotion #情感，感情；激动
emotional #感情的，情绪的
emperor #皇帝
emphasis #强调，重点，重要性
emphasize #强调，着重
empire #帝国
employ #雇用；用；使忙于
employee #受雇者，雇员，雇工
employer #雇佣者，雇主
employment #工业；雇用；使用
empty #空的；空洞的
enable #使能够，使可能
enclose #围住，圈起；附上
encounter #遭遇，遇到 #遭遇
encourage #鼓励，支持，助长
end #末端；目标 #结束
ending #结尾，结局；死亡
endless #无止境的
endure #忍受；容忍
enemy #敌人；仇敌；敌兵
energy #活力；精力；能
enforce #实施，执行；强制
engage #使从事于；聘用
engine #发动机，引擎；机车
engineer #工程师，技师
engineering #工程，工程学
England #英格兰；英国
English #英语 #英国人的
Englishman #英国男子
enjoy #享受；欣赏，喜爱
enlarge #扩大，扩展；放大
enormous #巨大的，庞大的
enough #足够的 #足够地
ensure #保证；保护；赋予
enter #走进，进入；参加
entertain #使欢乐；招待
enthusiasm #热情，热心，热忱
enthusiastic #热情的，热心的
entire #全部的，整个的
entitle #给…权利(或资格)
entrance #入口，门口；进入
entry #入口处；登记；进入
envelope #信封；封套；封皮
environment #环境，外界；围绕
envy #妒忌；羡慕
equal #相等的；平等的
equality #等同，平等；相等
equation #方程(式)；等式
equip #装备，配备
equipment #装备，设备，配备
equivalent #相等的；等量的
era #时代，年代；纪元
erect #建造；使竖立
error #错误，谬误；差错
escape #逃跑；逸出 #逃跑
especially #特别，尤其，格外
essay #短文，散文，小品文
essential #必要的，本质的
establish #建立，设立；确立
establishment #建立，设立，确立
estimate #估计，评价 #估计
Europe #欧洲
European #欧洲的 #欧洲人
evaluate #评价，估…的价
evaporate #使蒸发 #蒸发
eve #前夜，前夕，前一刻
even #甚至；甚至更，还
even #均匀的；平的
evening #傍晚，黄昏，晚上
event #事件，大事；事变
eventually #终于；最后
ever #在任何时候；曾经
every #每一的；每隔…的
everybody #每人，人人
everyday #每天的，日常的
everyone #每人，人人
everything #每件事，事事
everywhere #到处，处处
evidence #根据；证据，证人
evident #明显的，明白的
evil #邪恶；祸害 #坏的
evolution #进化，演化；发展
evolve #使进化；使发展
exact #确切的；精确的
exactly #确切地；恰恰正是
exaggerate #夸大，夸张
exam #考试；检查，细查
examination #考试；检查，细查
examine #检查，仔细观察
example #例子，实例；模范
exceed #超过，胜过；超出
exceedingly #极端地，非常
excellent #优秀的，杰出的
except #除…之外
exception #例外，除外
excess #超越；过量；过度
excessive #过多的，极度的
exchange #交换；交流 #交换
excite #使激动；引起
exciting #令人兴奋的
exclaim #呼喊；惊叫
exclude #把…排除在外
exclusively #专门地
excursion #远足；短途旅行
excuse #原谅；免除 #借口
execute #将…处死；实施
executive #执行的 #执行者
exercise #锻炼，训练 #练习
exert #尽(力)，运用
exhaust #使筋疲力尽；用尽
exhibit #显示；陈列，展览
exhibition #展览，陈列；展览会
exist #存在；生存，生活
existence #存在，实在；生存
exit #出口；退场 #退出
expand #扩大；使膨胀
expansion #扩大，扩充；扩张
expect #预料，预期；等待
expectation #期待，期望，预期
expense #花费，消费；费用
expensive #昂贵的，花钱多的
experience #经验，感受；经历
experiment #实验；试验
experimental #实验的，试验的
expert #专家 #熟练的
explain #解释；为…辩解
explanation #解释，说明；辩解
explode #使爆炸 #爆炸
exploit #剥削；利用；开拓
explore #探险，探索
explosion #爆炸，爆发，炸裂
explosive #炸药 #爆炸的
export #输出，出口；运走
expose #使暴露；揭露
exposure #暴露；揭露；曝光
express #表示 #快车，快递
expression #词句；表达；表情
extend #延长；扩大；致
extension #延长部分；伸展
extensive #广阔的；广泛的
extent #广度；范围；程度
exterior #外部的；对外的
external #外部的，外面的
extra #额外的 #特别地
extraordinary #非同寻常的，特别的
extreme #极度的；尽头的
extremely #极端，极其，非常
eye #眼睛；眼力；鉴赏力
eyesight #视力，目力
facility #设备；容易；便利
fact #事实；实际，实情
factor #因素；因子，系数
factory #工厂，制造厂
faculty #才能，能力；系，科
fade #褪色；逐渐消失
Fahrenheit #华氏温度计
fail #失败；失灵；不能
failure #失败；失败的人
faint #微弱的；虚弱的
fair #公平的；相当的
fair #定期集市；博览会
fairly #相当；公平地
faith #信任，信心；信仰
faithful #忠诚的；如实的
fall #落下；跌倒；陷落
false #不真实的；伪造的
fame #名声，名望
familiar #熟悉的；冒昧的
family #家，家庭；家族
famine #饥荒；严重的缺乏
famous #著名的，出名的
fan #(运动等)狂热爱好者
fan #扇子，风扇 #扇
fancy #想象力；设想；爱好
far #远的 #远，遥远
fare #车费，船费，票价
farewell int#再会 #告别
farm #农场，农庄；饲养场
farmer #农民，农夫；农场主
farther #更远地 #更远的
fashion #样子，方式；风尚
fashionable #流行的，时髦的
fast #快的；偏快的 #快
fasten #扎牢，扣住
fatal #致命的；命运的
fate #命运，天数
father #父亲；神父；创始人
father-in-law #岳父；公公
fatigue #疲劳，劳累
fault #缺点；过失；故障
faulty #有错误的，有缺点的
favour #好感；赞同；恩惠
favourable #有利的；赞成的
favourite #特别受喜爱的
fear #害怕；担心 #害怕
fearful #害怕的，可怕的
feasible #可行的；可能的
feast #盛宴，筵席；节日
feather #羽毛；翎毛；羽状物
feature #特征，特色；面貌
February #二月
federal #联邦的；联盟的
fee #费，酬金；赏金
feeble #虚弱的；微弱的
feed #喂(养) #吃饲料
feedback #回授，反馈，反应
feel #有知觉 #触，摸
feeling #感情；感觉，知觉
fellow #人，家伙；伙伴
female #雌性的动物；女子
fence #栅栏
fertile #肥沃的；多产的
fertilizer #肥料
festival #节日；音乐节
fetch #拿来；请来，接去
fever #发热，发烧；狂热
few #很少的；少数的
fibre #纤维，纤维质
fiction #小说；虚构，杜撰
field #田野；田；运动场
fierce #凶猛的，狂热的
fifteen num#十五；十五个
fifth num#第五 #五分之一
fifty num#五十，五十个
fight #打(仗)；斗争
figure #数字；外形；人物
file #档案 #把…归档
fill #装满，盛满；占满
film #影片；胶卷；薄层
filter #过滤 #滤纸
final #最后的；决定性的
finally #最后；不可更改的
finance #财政，金融；财源
financial #财政的，金融的
find #找到；发觉；找出
finding #发现；调查的结果
fine #美好的；纤细的
fine #罚金，罚款
finger #手指；指状物
finish #完成，结束 #结束
fire #火；火灾 #开火
fireman #消防队员；司炉工
firm #商行，商号，公司
first num#第一 #最初
fish #鱼，鱼肉 #钓鱼
fisherman #渔民，渔夫，打鱼人
fist #拳(头)
fit #适合；安装#适合
five num#五，五个，第五
fix #使固定；决定
flag #旗，旗帜；旗舰旗
flame #火焰；光辉；热情
flare #闪耀 #使闪亮
flash #闪光 #闪，闪烁
flat #平的，扁平的
flat #一套房间；单元住宅
flavour #味，味道；风味
fleet #舰队；船队，机群
flesh #肉，肌肉；肉体
flexible #易弯曲的；灵活的
flight #航班；飞行；逃跑
float #漂浮 #使漂浮
flock #羊群，群；大量
flood #洪水 #淹没
floor #地板；楼层
flour #面粉，粉；粉状物质
flourish #繁荣，茂盛，兴旺
flow #流动；飘垂；涨潮
flower #花，花卉；开花
flu #流行性感冒
fluent #流利的，流畅的
fluid #流体，液体
flush #奔流；(脸)发红
fly #蝇，苍蝇 #飞行
focus #聚焦，注视 #焦点
fog #雾；烟雾，尘雾
fold #折叠；合拢 #褶
folk #人们，家属，亲属
follow #跟随；结果是
following #接着的；下列的
fond #喜爱的；溺爱的
food #食物，食品，养料
fool #蠢人，傻子 #欺骗
foolish #愚蠢的；鲁莽的
foot #脚；最下部；英尺
football #足球比赛；足球
footstep #脚步；脚步声；足迹
for #为；给；因为
forbid #禁止，不许；阻止
force #强迫 #力，力量
forecast #预测，预报 #预示
forehead #额头，前部
foreign #外国的；外来的
foreigner #外国人
foremost #最初的；第一流的
forest #森林；森林地带
forever #永远，总是，老是
forget #忘记，遗忘
forgive #原谅，饶恕，宽恕
fork #餐#；#；分#
form #形式；形状 #形成
formal #正式的；礼仪上的
formation #形成；构成；形成物
former #在前的 #前者
formula #公式，式
forth #向前；向外，往外
fortnight #两星期，十四天
fortunate #幸运的，侥幸的
fortunately #幸运地，幸亏
fortune #命运，运气；财产
forty num#四十，第四十
forward #向前；今后，往后
found #创立，创办；建立
foundation #基础；地基；基金
fountain #泉水，喷泉；源泉
four num#四，四个，第四
fourteen num#十四，第十四
fourth num#第四，四分之一
fox #狐狸；狡猾的人
fraction #小部分；片断；分数
fragment #碎片，破片，碎块
frame #框架，框子；构架
framework #框架，构架，结构
France #法国，法兰西
frank #坦白的，直率的
free #自由的；空闲的
freedom #自由；自主
freely #自由地；直率地
freeze #冻；结冻#使结冰
freight #货运；货物；运费
French #法国的 #法国人
frequency #屡次；次数；频率
frequent #时常发生的；经常的
frequently #时常，常常
fresh #新的；新鲜的
friction #摩擦，摩擦力
Friday #星期五
fridge #电冰箱
friend #朋友，友人
friendly #友好的，友谊的
friendship #友谊，友好
frighten #使惊恐，吓唬
frog #蛙
from #从…来；离开
front #前面的 #前部
frontier #边境；边疆；新领域
frost #冰冻，严寒；霜
frown #皱眉，蹙额
fruit #水果；果实；成果
fruitful #多产的；肥沃的
fry #油煎，油炸，油炒
fuel #燃料 #给…加燃料
fulfil #履行；满足；完成
full #满的；完全的
fun #乐趣，娱乐；玩笑
function #功能；职务；函数
fund #资金；基金；存款
fundamental #基础的，基本的
funeral #葬礼，丧礼，丧葬
funny #古怪的；滑稽的
fur #软毛；毛皮，裘皮
furious #狂怒的；狂暴的
furnace #炉子，熔炉；鼓风炉
furnish #供应，提供；装备
furniture #家具；装置，设备
further #更远地 #更远的
furthermore #而且，此外
future #将来，未来；前途
gain #获得；增加 #增进
gallery #长廊，游廊；画廊
gallon #加仑
game #游戏；比赛；猎物
gang #一帮，一伙
gap #缺口；间隔；差距
garage #车库；加油站
garbage #垃圾，污物，废料
garden #花园，菜园；公园
gardener #园丁，花匠
gas #煤气；气体；汽油
gaseous #气体的，气态的
gasoline #(美)汽油
gasp #气喘，喘息
gate #大门；篱笆门
gather #聚集；集合#收集
gauge #量，测量 #量器
gay #快乐的；鲜明的
gaze #凝视，盯，注视
general #总的；一般的#将军
generally #一般地；通常地
generate #发生；引起；生殖
generation #一代，一代人；产生
generator #发电机；发生者
generous #慷慨的；宽厚的
genius #天才，天赋，天资
gentle #和蔼的；轻柔的
gentleman #绅士；有教养的人
gently #有礼貌地；柔和地
genuine #真的；真正的
geography #地理，地理学
geometry #几何，几何学
germ #微生物，细菌，幼芽
German #德国的 #德国人
Germany #德意志，德国
gesture #姿势，手势；姿态
get #变得，成为；到达
ghost #鬼，灵魂；鬼魂
giant #巨人；巨物
gift #礼物，赠品；天赋
girl #女孩子，姑娘；女儿
give #做，作；送给
glad #高兴的；乐意的
glance #看一下 #一瞥
glare #瞪眼 #瞪眼
glass #玻璃；玻璃杯
glide #滑动；消逝 #滑行
glimpse #瞥见 #一瞥，一看
glitter #闪闪发光 #闪光
globe #地球，世界；地界仪
gloomy #黑暗的；令人沮丧的
glorious #光荣的；壮丽的
glory #光荣；荣誉的事
glove #手套
glow #白热光 #发白热光
glue #胶，胶水 #胶合
go #去；走；变为
goal #球门；得分；目的
goat #山羊
God #神，神像；上帝
gold #金；钱财 #金制的
golden #金色的；极好的
golf #高尔夫球
good #好的；有本事的
goodbye int#再见，再会
goodness #优良，德性，仁慈
goods #货物，商品
goose #鹅，雌鹅
govern #统治，治理；支配
government #政府；治理；政治
governor #州长；主管人员
gown #长袍，长外衣
grace #优美，文雅；雅致
graceful #优美的，优雅的
gracious #有礼貌的；仁慈的
grade #给…分等级 #等级
gradual #逐渐的；渐进的
gradually #逐渐地，逐步地
graduate #毕业生 #大学毕业
grain #谷物，谷粒；颗粒
gramme #克(重量单位)
grammar #语法；语法书
grammatical #语法上的
grand #宏伟的；重大的
granddaughter #孙女，外孙女
grandfather #祖父；外祖父
grandmother #祖母，外祖母
grandson #孙子，外孙子
grant #授给物 #授予
grape #葡萄；葡萄藤
graph #(曲线)图，图表
grasp #抓紧；掌握 #抓
grass #草；牧草；草地
grateful #感激的；令人愉快的
gratitude #感激，感谢，感恩
grave #坟墓 #严重的
gravity #重力，引力；严重性
gray #灰色的 #灰色
great #大的；伟大的
greatly #大大地，非常
greedy #贪吃的；贪婪的
Greek #希腊的 #希腊人
green #绿色的 #绿色
greenhouse #温室，玻璃暖房
greet #问候，招呼；反应
greeting #问候，招呼，致敬
grey #灰色的 #灰色
grieve #使悲痛 #悲痛
grind #磨(碎)；磨快
grip #握紧，抓牢 #紧握
groan #哼，呻吟 #呻吟
grocer #食品商；杂货商
grocery #食品杂货店
gross #总的；严重的
ground #地；场地；根据
group #小组，群 #聚集
grow #生长；变得；增长
growth #增长；增长量；生长
guarantee #保证；担保物
guard #守卫；看守 #卫兵
guess #&#猜测，推测
guest #客人，宾客；旅客
guidance #引导，指导，领导
guide #导游者 #给…导游
guilty #内疚的；有罪的
gulf #海湾
gum #口香糖；树胶
gun #枪，炮，手枪
gunpowder #黑色火药；有烟火药
gymnasium #体育馆，健身房
habit #习惯；习性
habitual #习惯性的，惯常的
hair #头发，毛发；毛
haircut #理发
half #半，一半 #一半的
hall #门厅；过道；会堂
halt #停止；立定 #停住
hamburger #汉堡包，牛肉饼
hammer #锤，榔头 #锤击
hand #手；人手；指针
handful #一把；少数，一小撮
handkerchief #手帕
handle #柄，把手 #拿，触
handsome #英俊的；相当大的
handwriting #笔迹，手迹，书法
handy #手边的；便于使用的
hang #挂，悬；吊死
happen #发生；碰巧，恰好
happiness #幸福，幸运；快乐
happy #快乐的；幸福的
harbour #海港，港口 #庇护
hard #硬的；困难的
harden #使变硬 #变硬
hardly #几乎不，简直不
hardship #艰难，困苦
hardware #五金器具；硬件
hare #野兔
harm #伤害，损害 #损害
harmful #有害的
harmony #调合，协调，和谐
harness #治理 #马具，挽具
harsh #严厉的；刺耳的
harvest #收获，收成 #收割
haste #急速，急忙；草率
hasten #催促 #赶紧
hasty #急速的；仓促的
hat #帽子(一般指有边的)
hatch #孵出 #(蛋)孵化
hate #恨，憎恨；不喜欢
hateful #可恨的，可恶的
hatred #憎恶，憎恨，仇恨
have v#aux#已经 #有；吃
hawk #鹰，隼
hay #干草
hazard #危险；公害
he #(主格)他
head #头；上端 #率领
headache #头痛；头痛的事
heading #标题，题词，题名
headline #大字标题；新闻提要
headmaster #校长
headquarters #司令部；总部
heal #治愈；使和解
health #健康，健康状况
healthy #健康的；有益健康的
heap #(一)堆；大量
hear #听见；审讯；听说
heart #心，内心；勇气
heat #热，炎热 #变热
heating #加热，供暖
heaven #天堂；天，天空
heavily #重重地；大量地
heavy #重的；大的；充满的
hedge #篱笆，树篱；障碍物
heel #脚后跟，踵，后跟
height #高，高度；高处
heir #后嗣，继承人
helicopter #直升机
hell #地狱；极大的痛苦
hello int#喂
helmet #头盔，钢盔
help #帮助；援助 #帮手
helpful #给予帮助的；有用的
helpless #无助的；无能的
hen #母鸡，雌禽
hence #因此，所以；今后
her #(宾格)她；她的
herd #兽群，牧群 #放牧
here #这里；向这里
hero #男主角；英雄；勇士
heroic #英雄的；英勇的
heroine #女主角；女英雄
hers #她的(所有物)
herself #她自己；她亲自
hesitate #犹豫，踌躇；含糊
hi ini#嗨(表示问候等)
hide #把…藏起来；隐瞒
high #高的；高级的 #高
highly #高度地，很，非常
highway #公路；大路
hill #小山，山岗；丘陵
hillside #(小山)山腰，山坡
him #(宾格)他
himself #他自己；他亲自
hint #暗示，示意；建议
hire #租借 #租用，雇用
his #他的，他的东西
historical #历史的，有关历史的
history #历史；个人经历
hit #打；碰撞 #击
hobby #业余爱好，癖好
hold #拿住；掌握；拥有
hole #洞；孔眼，裂开处
holiday #假日，节日；假期
hollow #空的；空洞的
holy #神圣的；圣洁的
home #家；家乡 #家庭的
honest #诚实的；可敬的
honesty #诚实，正直
honey #蜜，蜂蜜；甜，甜蜜
honeymoon #蜜月
honour #光荣；尊敬，敬意
honourable #诚实的；光荣的
hook #钩，挂钩 #钩住
hope #&#希望
hopeful #有希望的
hopeless #没有希望的，绝望的
horizon #地平线；眼界，见识
horizontal #地平的；水平的
horn #号角；警报器；角
horror #恐怖；战栗；憎恶
horse #马；马科动物
horsepower #马力
hospital #医院
host #主人；东道主
hostess #女主人；空姐
hostile #敌方的；不友善的
hot #热的；刺激的；辣的
hotel #旅馆
hour #小时；时间，时刻
house #房屋，住宅；商号
household #家庭，户；家务
housewife #家庭主妇
how #怎么；怎样；多少
however #然而；不管怎样
huge #巨大的，庞大的
human #人的，人类的 #人
humble #谦逊的；地位低下的
humid #湿的，湿气重的
humorous #富于幽默的，诙谐的
humour #幽默，诙谐，幽默感
hundred num#百，百个 #许多
hunger #饿，饥饿；渴望
hungry #饥饿的；渴望的
hunt #打猎；搜寻 #追猎
hurry #赶紧 #催促
hurt #使受伤；使痛心
husband #丈夫
hut #小屋，棚屋
hydrogen #氢
I #(主格)我
ice #冰，冰块 #冰镇
ice-cream #冰淇淋
idea #想法；思想；意见
ideal #理想的；观念的
identical #完全相同的；同一的
identify #认出，识别，鉴定
idiom #习语，成语
idle #空闲的；懒散的
i#e# (=that is)那就是，即
if #假如，如果
ignorant #不知道的；无知的
ignore #不顾，不理，忽视
ill #有病的；坏的 #坏
illegal #不合法的，非法的
illness #病，疾病
illustrate #(用图等)说明
illustration #说明，图解；例证
image #像；形象；映象
imaginary #想象中的，假想的
imagination #想象；想象力；空想
imagine #想象，设想；料想
imitate #模仿，仿效；仿制
immediate #立即的；直接的
immediately #立即；直接地
immense #巨大的；极好的
immigrant #移民 #移民的
impact #影响，作用；冲击
impatient #不耐烦的，急躁的
implication #含义，暗示，暗指
imply #暗示，意指
import #输入，进口
importance #重要；重要性
important #重要的；有势力的
impose #把…强加；征(税)
impossible #不可能的，办不到的
impress #给…深刻印象
impression #印；印象；印记
impressive #给人印象深刻的
imprison #关押，监禁；限制
improve #使更好 #改善
improvement #改进，改善；改进处
in #在…里#进，入
inch #英寸
incident #发生的事；事件
incline #斜坡 #使倾斜
include #包括，包含
income #收入；收益；进款
incorrect #不正确的，错误的
increase #&#增加
increasingly #日益，越来越多地
indeed #真正地；确实
indefinite #不明确的；不定的
independence #独立，自主，自立
independent #独立的；自主的
index #索引；指数；指标
India #印度
Indian #印度的 #印度人
indicate #标示，表示；表明
indication #指示；表示；表明
indifferent #冷漠的；不积极的
indignant #愤慨的，义愤的
indirect #间接的；不坦率的
indispensable #必不可少的，必需的
individual #个别的；独特的
indoors #在室内，在屋里
industrial #工业的；产业的
industrialize #使工业化
industry #工业，产业；勤劳
inefficient #效率低的，无能的
inevitable #不可避免的，必然的
inexpensive #花费不多的，廉价的
infant #婴儿 #婴儿的
infect #传染；感染
infer #推论，推断；猜想
inferior #下等的；劣等的
infinite #无限的；无数的
influence #影响；势力 #影响
influential #有影响的；有权势的
inform #通知，向…报告
information #消息，信息；通知
inhabit #居住于，栖息于
inhabitant #居民，住户
inherit #继承(传统等)
initial #最初的；词首的
injection #注射，注入；充满
injure #伤害，损害，损伤
injury #损害，伤害；受伤处
ink #墨水，油墨
inn #小旅店；小酒店
inner #内部的；内心的
innocent #清白的，幼稚的
input #输入；投入的资金
inquire #打听，询问；调查
inquiry #询问，打听；调查
insect #昆虫，虫
insert #插入; 嵌入; 登载
inside #在…里面 #内部
insist #坚持；坚持要求
inspect #检查，审查；检阅
inspection #检查，审查；检阅
inspire #鼓舞；给…以灵感
install #安装，设置
installation #安装；装置；设施
instance #例子，实例，事例
instant #瞬间 #立即的
instantly #立即，即刻
instead #代替，顶替；反而
instinct #本能；直觉；生性
institute #研究所；学院
institution #协会；制度，习俗
instruct #教；指示；通知
instruction #命令；教学；教训
instrument #仪器；工具；乐器
insufficient #不足的；不适当的
insult #侮辱，凌辱
insurance #保险；保险费
insure #给…保险；确保
intellectual #知识分子 #智力的
intelligence #智力；理解力；情报
intelligent #聪明的；理智的
intend #想要，打算；意指
intense #强烈的；紧张的
intensity #强烈，剧烈；强度
intensive #加强的；精耕细作的
intention #意图，意向，目的
intentional #故意的，有意识的
interaction #相互作用；干扰
interest #兴趣；利益；利息
interesting #有趣的，引人入胜的
interfere #干涉，干预；妨碍
interference #干涉，干预；阻碍
interior #内的；内地的#内部
intermediate #中间的；中级的
internal #内的；国内的
international #国际的，世界(性)的
interpret #解释，说明；口译
interpretation #解释；口译
interpreter #译员，口译者
interrupt #打断，打扰；中止
interruption #中断，打断；障碍物
interval #间隔；休息；间距
interview #接见；会见；面谈
intimate #亲密的；个人的
into #进，入；进入到
introduce #介绍；引进，传入
introduction #介绍；引进；引言
invade #入侵，侵略；侵袭
invasion #入侵，侵略；侵犯
invent #发明，创造；捏造
invention #发明，创造；捏造
inventor #发明者；发明家
invest #投资；投入
investigate #调查
investigation #调查，调查研究
investment #投资，投资额，投入
invisible #看不见的，无形的
invitation #邀请，招待；请柬
invite #邀请，聘请；招待
involve #使卷入；牵涉
inward #里面的 #向内
iron #铁；烙铁 #烫(衣)
irregular #不规则的；不整齐的
island #岛，岛屿
isolate #使隔离，使孤立
issue #问题；发行 #发行
it #这，那，它
Italian #意大利的#意大利人
item #条，条款；一条
its #它的
itself #它自己；自身
jacket #短上衣，茄克衫
jail #监狱 #监禁
jam #果酱
jam #使塞满；使堵塞
January #一月
Japan #日本，日本国
Japanese #日本的 #日本人
jar #罐子，坛子，广口瓶
jaw #颌，颚
jazz #爵士音乐，爵士舞曲
jealous #妒忌的；猜疑的
jet #喷气式飞机；喷嘴
jewel #宝石；宝石饰物
jewish #犹太人的
job #职业；工作；零活
join #参加；连接
joint #接头，接缝；关节
joke #笑话 #说笑话
jolly #快活的；令人高兴的
journal #日报，杂志；日志
journalist #记者，新闻工作者
journey #旅行，旅程 #旅行
joy #欢乐，喜悦；乐事
joyful #十分喜悦的，快乐的
judge #法官；裁判员
judgement #意见；审判；判断
juice #(水果等)汁，液
July #七月
jump #跳；暴涨 #跳过
June #六月
jungle #丛林，密林，莽丛
junior #年少的 #晚辈
jury #陪审团；评奖团
just #刚才；只是；正好
justice #正义，公正；司法
justify #证明…是正当的
keen #热心的；激烈的
keep #保持；坚持
keeper #看护人；饲养员
kettle #水壶，水锅
key #钥匙；键；答案
keyboard #键盘
kick #&#踢
kid #小孩，儿童，少年
kill #杀死；扼杀；消磨
kilogram #千克，公斤
kilometer #千米，公里
kind #种类
kind #友好的；和蔼的
kindness #仁慈，好意
king #国王，君主
kingdom #王国；领域，界
kiss #吻 #接吻 #吻
kitchen #厨房，灶间
kite #风筝
knee #膝，膝盖，膝关节
kneel #跪，跪下，跪着
knife #小刀，刀，餐刀
knit #把…编结 #编织
knob #门把，拉手；旋纽
knock #&#敲，击，打
knot #(绳的)结，(树的)节
know #知道；认识；通晓
knowledge #知识，学识；知道
lab #实验室，研究室
label #标签；标记，符号
laboratory #实验室，研究室
labour #劳动；工作；劳工
lace #鞋带，系带；花边
lack #&#缺乏，不足
ladder #梯子，梯状物
lady #女士，夫人；贵妇人
